The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
Subsidiary, Assistant  ancillary  helpful  adjuvant  conducive  favourable  promotive  adminicular  corroborative  tending  , Opponent  obstructive  preventative  inconducive  unfavorable  retardative  subversive  counteractive
Subsist, be  live  feed  continue  exist  , Fail  starve  decay  die
Substance, Matter  material  body  pith  gist  import  essential  meaning  Be    ,
Substantial, Existing  real  solid  true  corporeal  material  strong  stout  massive  bulky  tangible  , Imaginary  unreal  insubstantial  fictitious  supposititious  incorporeal  chimerical  visionary  immaterial  weak  frail  airy  disembodied  spiritual  ghostly
Substitute, Exchange  commute  represent  replace  supply  depute  , Retain  fix  continue  perpetuate  stabilitate  establish
Subterfuge, Shift  evasion  artifice  excuse  pretext  dodge  underhandedness  sophistry  , Assertion  promulgation  challenge  exhibition  manifestation  open handedness  frankness  daylight  vindication
Subtile, Fine  thin  rare  refined  volatile  delicate  nice  acute  , Coarse  thick  gross  crass  dense
Subtle, Sly  artful  cunning  insinuating  wily  astute  nice  discriminating  crafty  fine  shrewd  sophistical  Jesuitical  , Open  frank  honest  artless  undiscriminating  rough  blunt  undiscerning  unsophisticated  simple
Subtract, Withdraw  remove  deduct  take  , Add  import  adduce  give  bring
Suburbs, Precincts  purlieus  outskirts  confines  environs  , Centre  heart  citadel  acropolis
Subvert, Overturn  overthrow  destroy  , Stabilitate  perpetuate  [See PITH]  serve
Succeed, Follow  supervene  prosper  flourish  ensue  thrive  , Proceed  anticipate  fall
Success, Achievement  luck  consummation  prosperity  victory  good-fortune  , Failure  defeat  disaster  ruin
Successful, Lucky  fortunate  happy  auspicious  prosperous  [See BOUNDLESS]    ,
Succession, Following  supervention  consecution  sequence  order  series  rotation  continuity  supply  suite  , Precedence  anticipation  prevention  antecedence  irregularity  disorder  non-sequence  solution  failure  intermission  break  gap  inconsecutiveness
Succinct, Brief  close  concise  short  summary  terse  compendious  condensed  , Prolix  diffuse  discursive  circuitous  circumlocutory
Succor, Aid  support  console  alleviate  befriend  comfort  help  assist  relieve  , Distress  oppress  maltreat  injure  thwart  burden  persecute  hurt
Succumb, Surrender  comply  submit  acquiesce  yield  sink  resign  , Resist  rise  contend  battle  fight  surmount
Suck In, Absorb  imbibe  , Throw out  eject
Sudden, Unanticipated  hasty  rash  quick  unexpected  abrupt  , Gradual  expected  transitional  slow  premonished  anticipated
Suffer, Bear  endure  sustain  undergo  let  permit  allow  admit  tolerate  experience  support  , Resist  repel  expel  reject  disallow  repudiate  forbid  ignore
Sufferance, Toleration  permission  allowance  endurance  moderation  self-control  long suffering  patience  , Prohibition  resistance  nonendurance  impatience  insubmission
Suffering  [See AFFLICTION AND TROUBLE], Suffering  [See AFFLICTION AND TROUBLE]    ,
Suffice, Satisfy  content  be enough  [See SATISFY]    ,
Sufficiency  [See ABUNDANCE and COMPETENCE], Sufficiency  [See ABUNDANCE and COMPETENCE]    ,
Sufficient, Adequate  equal  competent  satisfactory  tit  qualified  adapted  suited  enough  ample  , Inadequate  unequal  incompetent  unqualified  unadapted  insufficient  unsuited  meagre  bare  scanty  short  deficient
Suffix  -n, Affix  postfix  , Prefix
Suffocate   [See SMOTHER], Suffocate   [See SMOTHER]    ,
Suffrage, Vote  voice  support    ,
Suggest, Hint  insinuate  propose  allude to  recommend  intimate  , Declare  propound  enunciate  insist  demand  dictate
Suit -v, Fit  adapt  match  adjust  harmonize  apportion  befit  beseem  tally  correspond  answer  comport  please  serve  agree  become  accord  , Misfit  misadapt  mismatch  misapportion  unbeseem  vary  differ  disagree  miscomport
Suit -n, Solicitation  petition  request  action at law  wooing  courtship  process  series  [See PETITION]    ,
Suitable -a, Proper  fitting  becoming  seemly  befitting  adequate  eligible  agreeable  appropriate  decent  convenient  accordant  competent  correspondent  harmonious  uniform  homogeneous  , Improper  unfitting  unbecoming  indecent  inconvenient  inaccordant  various  heterogeneous  unsuitable  incompetent
Sulky, Sullen  gloomy  splenetic  churlish  ill-tempered  fretful  morose  , Genial  kindly
Sullen, Gloomy  heavy  dismal  foreboding  sulky  moody  lowering  cheerless  , Bright  light  cheerful  favorable  genial  kindly  glad  gladsome  blithe
Sully, Soil  efface  dirty  taint  tarnish  spot  stain  spoil  disgrace  dishonor  , Purify  cleanse  ennoble  dignify  signalize  glorify  honor
Sultry, Close  oppressive  depressing  , Open  fresh  invigorating  bracing  elastic  exhilarating  breezy
Sum -n, Aggregate  total  example  problem  whole  amount  quantity  collection  substance  gist  tenor  height  completion  drift  bearing  , Part  portion  item  imperfection  incompleteness  miscalculation  misinterpretation
Summary -a, Compendious  short  succinct  brief  offhand  decisive  quick  sharp  unceremonious  informal  rapid  concise  , Tedious  circuitous  roundabout  protracted  formal  ceremonious  punctilious  slow
Summary -n, Analysis  tabulation  abridgment  resume  compendium  digest  epitome  abstract  , Dilatation  expansion  dilution
Summit, Top  height  apex  culmination  zenith  , Bottom  depth  base  foot  nadir
Summon, Call  cite  challenge  convene  convoke  invite  bid  , Discharge  remit  relegate  send  disband  prorogue  dissolve  discard  dismiss
Sumptuous, Costly  gorgeous  superb  splendid  expensive  magnificent  prodigal  princely  lavish  munificent  , Poor  mean  inexpensive  sordid  niggardly  economical  illiberal  beggarly  frugal  parsimonious  saving
Superable, Feasible  possible  manageable  surmountable  , Insuperable  indomitable  invincible  unmanageable  impossible  insurmountable
Superannuated, Effete  timeworn  decrepit  passe'  , Vigorous  energetic  active  efficient
Superb, Grand  magnificent  elegant  princely  splendid  showy  proud  august  stately  gorgeous  , Mean  common  commonplace  unimposing  shabby
Supercilious, Haughty  contemptuous  disdainful  arrogant  i solent  , Affable  courteous  respectful  modest  bashful
Supererogation, Superfluity  excess  superabundance  supervacaneousness  needlessness  , Necessity  unprofitableness  duty  shortcoming  deficiency
Superficial, Light  slight  imperfect  showy  external  flimsy  surface  shallow  smattering  skin-deep  , Deep  profound  abstruse  recondite  accurate  exact  deep-seated
Superfluous  [See REDUNDANT], Superfluous  [See REDUNDANT]    ,
Superfluity, Redundance  needlessness  supererogation  pleonasm  excess  , Necessity  necessary  requirement  shortcoming  deficiency
Superhuman, Supernatural  miraculous  divine  hyperphysical  preternatural  , Natural  human  physical  unmiraculous
Superintend  [See SUPERVISE], Superintend  [See SUPERVISE]    ,
Superintendence  [See OVERSIGHT], Superintendence  [See OVERSIGHT]    ,
Superintendent, Inspector  overseer  controller  director  manager  visitor  head  principal  supervisor  , Subject  subordinate  servant  employee
Superior, Higher  upper  better  preferable  surpassing  loftier  excellent  remarkable  eminent  conspicuous  , Inferior  lower  worse  subordinate  ordinary  common  unremarkable  average  mean  mediocre
Superiority  [See INFERIORITY], Superiority  [See INFERIORITY]    ,
Superlative, Supreme  transcendent  greatest  highest  extreme  surpassing  consummate  extraordinary  , Common  ordinary  unremarkable
Supernal, Celestial  heavenly  , Terrestrial  earthly  infernal  lower  sublunary
Supernatural  [See SUPERHUMAN], Supernatural  [See SUPERHUMAN]    ,
Supersede, Remove  displace  obviate  oust  recal  neutralize  overrule  suspend  supplant  , Confirm  perpetuate  continue  introduce  supply
Superstition, Bigotry  fanaticism  , Infidelity  skepticism  disbelief  rationalism  religion  devotion  worship  reason
Supervene, Happen  accrue  succeed  occur  , Pass  depart  disappear  vanish
Supervise, Superintend  control  manage  direct  visit  inspect  overlook  , Mismanage  miscontrol  misregulate  misdirect
Supine, Lazy  indolent  indifferent  listless  inactive  negligent  inattentive  careless  sluggish  otiose  torpid  , Active  energetic  laborious  diligent  indefatigable
Supple, Pliant  bending  yielding  flexible  elastic  servile  fawning  cringing  adulatory  sycophantic  lithe  limber  compliant  , Firm  unbending  unyielding  stiff  stubborn  inflexible  inelastic  independent  self-assertive  supercilious
Supplement -n, Addition  appendix  [See ADDENDUM]    ,
Supplicate, Pray  beg  entreat  beseech  implore  solicit  crave  importune  , Order  command  insist  dictate  demand
Supply, Furnish  afford  provide  accoutre  give  minister  yield  contribute  , Expend  use  consume  waste  exhaust  absorb  demand  withhold  withdraw  retain
Support r, Bear  uphold  sustain  underlie  befriend  assist  second  promote  further  suffer  defend  foster  nurture  nourish  cherish  endorse  maintain  continue  countenance  patronize  subsidize  help  back  stay  favor  prop  , Drop  betray  surrender  abandon  discontinue  oppose  discourage  weaken  exhaust  thwart  discountenance  disfavor  subvert  suppress
Support -n, Prop  stay  foundation  buttress  help  aid  assistance  influence  maintenance  living  patronage  subsistence  livelihood  food  [See FOUNDATION and INFLUENCE]    ,
Supporter  [See ADHERENT], Supporter  [See ADHERENT]    ,
Suppose, Assume  presume  believe  divine  deem  fancy  think  regard  conceive  imagine  imply  presuppose  conjecture  guess  conclude  judge  consider  , Prove  demonstrate  substantiate  realize  disbelieve  negative  deny
Supposition, Conjecture  surmise  assumption  hypothesis  speculation  theory  guess  presumption  [See SPECULATION]    ,
Supposititious, Fictitious  ascititious  adventitious  spurious  counterfeit  fancied  imaginary  sham  false  , true  genuine  authentic  veritable  actual  real
Suppress, Overpower  extinguish  repress  stifle  check  subdue  quell  era h  destroy  restrain  conceal  hu n  stop  smother  , Raise  support  fan  excite  strengthen  incite  instigate  increase  aggravate  vent  publish  promulgate  spread  disseminate  intensify
Suppressible, Extinguishable  restrainable  , Inextinguishable  irrestrainable  irrepressible  indomitable
Supremacy, Sovereignty  nonsubjection  lordship  autocracy  , Inferiority  subordination  subjection
Supreme, Greatest  highest  first  predominant  paramount  principal  sovereign  [See PARAMOUNT and PRE-EMINENT]    ,
Sure, Certain  secure  safe  assured  unmistakable  stable  firm  knowing  believing  confident  trusting  unquestioning  positive  unfailing  strong  permanent  abiding  enduring  infallible  indisputable  fast  , Uncertain  ignorant  dubious  doubtful  hesitating  distrustful  questioning  vacillating  weak  untrustworthy  precarious  insecure  impermanent  transient  evanescent  fallible  disputable  loose
Surety, Certainty  safety  security  guaranty  pledge  bondsman  bail  hostage  [See CERTAINTY and HOSTAGE]    ,
Surfeit, Superabundance  excess  glut  nimiety  plethora  , Scantiness  stint  defect  starvation  inanition  insufficiency
Surly, Snarling  splenetic  rough  crabbed  gloomy  uncivil  [See SULKY and SULLEN]    ,
Surmise -v, Suspect  imagine  conjecture  guess  fancy  presume  suppose  [See SUPPOSE and SUSPECT]    ,
Surmount  [See SUCCUMB], Surmount  [See SUCCUMB]    ,
Surpass, Eclipse  outvie  excel  outstrip  exceed  outdo  outstep  surmount  transcend  , Fail  foil  equal
Surplus, Redundancy  remainder  rest  overplus  residue  excess  balance  , Deficiency  deficit  shortcoming
Surprise, Startle  astonish  alarm  amaze  confuse  , Prepare  premonish  forewarn
Surprising  [See WONDERFUL], Surprising  [See WONDERFUL]    ,
Surrender, Yield  submit  cede  relinquish  abandon  resign  , Withhold  vindicate  retain  resist  contend  strive
Surreptitious, Stealthy  furtive  unauthorized  fraudulent  underhanded  clandestine  , Open  openhanded  frank  honest  ingenuous
Surround  [See ENCIRCLE], Surround  [See ENCIRCLE]    ,
Survey, Scan  view  inspect  reconnoitre  overlook  scrutinize  examine  superintend  review  contemplate  , Ignore  miss  disregard  misobserve  misview  overlook
Susceptible, Capable  impressible  tender  sensitive  , Incapable  unimpressible  insensitive  insusceptible  impassible
Suscitate, Rouse  excite  vitalize  fan  inflame  , Soothe  calm  allay  repress  deaden  mesmerize  extinguish  compose  repress  lay
Suspect, Imagine  surmise  guess  conjecture  augur  doubt  mistrust  distrust  , Disbelieve  discredit  trust  confide  credit  accredit
Suspend, Attach  hang  rest  interrupt  delay  intermit  stop  discontinue  , Detach  drop  remove  continue  expedite  protract  prolong
Suspense, Protraction  uncertainty  doubt  solicitude  cessation  pause  waiting  intermission  discontinuance  abeyance  stoppage  indetermination  indecision  , Determination  settlement  execution  continuance  uninterruption  revival  determination  decision  finality
Suspicion, Distrust  misgiving  mistrust  jealousy  [See TRUST]    ,
Sustain  [See SUPPORT], Sustain  [See SUPPORT]    ,
Sustenance, Support  food  aliment  living  subsistance  livelihood  alimony  provision  nourishment  nutriment  nurture  sustentation  nutrition  pabulum  maintenance  , Starvation  Inanition  nonsubsistance  innutrition  exhaustion
Sustentatlon  [See SUSTENANCE], Sustentatlon  [See SUSTENANCE]    ,
Swain, Peasant  rustic  hind  countryman  lover  [See RUSTIC]    ,
Swallow, Absorb  gorge  engross  devour  appropriate  exhaust  consume  imbibe  engulf  brook  , Vomit  disgorge  eructate  discharge  economize  save  eschew  repudiate
Swamp  [See MARSH], Swamp  [See MARSH]    ,
Swarm, Multitude  crowd  throng  cluster  host  mass  press  posse  bevy  flock  troop  drove  herd  horde  crew  gang  shoal  army  host  regiment  myriad  inundation  , Paucity  sprinkling  scantling  rarity
Sway -n, Wield  influence  rule  authority  government  superiority  bias  dominion  control  preponderance  domination  supremacy  mastery  ascendency  weight  force  power  , Weakness  Inferiority  subordination  irresistance  obedience  subservience  subjection
Sway -v, Influence  govern  rule  bias  wave  swing  wield  [See GOVERN and WIELD]    ,
Swear, Depose  affirm  testify  declare  blaspheme  curse  [See AFFIRM and CURSE]    ,
Sweat, Perspiration  exudation  sweating  excretion  [See EXUDATION]    ,
Sweep -v, Remove  clean  brush  carry off  destroy  [See CLEAN and DESTROY]    ,
Sweep -n, Compass  range  stroke   [See COMPASS]    ,
Sweet -a, Saccharine  luscious  fragrant  dulcet  melodious  harmonious  musical  beautiful  lovely  wholesome  pleasing  pure  mild  winning  agreeable  fresh  gentle  amiable  , Sour  bitter  unsweet  fetid  offensive  nauseous  olid  stinking  nasty  inharmonious  discordant  unlovely  repulsive  unwholesome  putrid  tainted  ungentle  unamiable
Swell, Dilate  extend  enlarges  heighten  heave  enhance  rise  expand  increase  augment  protuberate  aggravate  amplify  distend  , Contract  curtail  shrivel  diminish  lessen  retrench  reduce  collapse  fold  narrow  condense  concentrate
Swerve, Deviate  diverge  stray  wander  divaricate  bend  incline  trend  , Continue  disincline
Swift, Rapid  speedy  headlong  quick  accelerated  nimble  expeditious  fleet  fast  ready  quick  eager  alert  prompt  , Slow  tardy  lingering  lazy  loitering  unexpeditious  inactive  sluggish  unready
Swindle  [See CHEAT], Swindle  [See CHEAT]    ,
Swindler, Rogue  impostor  sharper  knave  cheat  [See CHEAT  -n]    ,
Swing, Oscillate  dangle  wave  vibrate  , Be stationary
Sycophant, Parasite  flatterer  toady  lick-spittle  hanger-on  flatterer  [See PARASITE]    ,
Symbol  [See SIGN], Symbol  [See SIGN]    ,
Symmetrical, Regular  shapely  well proportioned  [See HARMONIOUS]    ,
Symmetry, Harmony  proportion  conformity  interrelation  intercoincidence  shapeliness  agreement  form  , Disharmony  disproportion  Inconformity  shapelessness  disagreement  interdisparity  interrepugnance  inconcinnity
Sympathy, Fellow-feeling  congeniality  commiseration  compassion  pity  concert  tenderness  agreement  condolence  , Antipathy  antagonism  incongeniality  pitilessness  mercilessness  compassionlessness  unkindness  harshness  unkindliness
Symptom, Concurrent  concomitant  premonition  indication  mark  note  sign  token  , Misindication
Synod,  Conference  convention  conclave  ecclesiastical council    ,
Synonymous, Equivalent  tantamount  alike in meaning  identical  interchangeable  , Opposed in meaning  not identical
Synonym, Equivalent  equivalent term  , Antonym  counter term  opposite term
Synopsis, Abstract  epitome  summary  abridgment  [See ABRIDGMENT]    ,
System, Method  scheme  order  regularity  classification  arrangement  rule  plan  , Disorder  derangement  confusion  fortuity  chance  medley  haphazard  incongruity  non-arrangement  nonclassification
Systematize, Methodize    reduce to a system    arrange  regulate  order  [See ARRANGE]    ,
Tabernacle, Tent  pavilion  habitation  temple  meeting house  church    ,
Tabid, Wasting  consumptive  phthisical  morbid  declining  vitiated  lean  shrivelled  , Hearty  robust  sound  vigorous  stout
Tacit, Silent  implied  understood  implicit  unexpressed  , Open  avowed  expressed  formal  declared
Taciturn, Silent  reserved  inconversible  uncommunicative  close  mute  pauciloquous  reticent  , Open  unreserved  conversible  communicative  fluent  chatty  talkative  garrulous  chattering  loquacious  multiloquous  prating  prattling  twaddling  verbose  gabbling  cackling
Taciturnity  [See SILENCE], Taciturnity  [See SILENCE]    ,
Tact, Nicety  perception  address  adroitness  expertness  faculty  knack  dexterity  sensitiveness  skill  taste  discrimination  judgment  critique  , Coarseness  insensitiveness  awkwardness  indiscrimination  indiscretion
Tactics, Manoeuvre  policy  strategy  diplomacy  management  temporization  , Blunder  impolicy
Taint, Imbue  impregnate  infect  defile  corrupt  stain  sully  tarnish  contaminate  vitiate  poison  pollute  blot  disgrace  dishonor  , Disinfect  purify  cleanse  efface  signalize  credit
Take, Seize  grasp  catch  capture  siege  use  obtain   pursue employ  follow  assume  procure  captivate  engage  interest  charm  choose  select  admit  accept  receive  conduct  transfer  , Drop  reject  abandon  surrender  lose  miss  repel
Tale, Story  narrative  incident  fiction  fable  romance  legend  recital  anecdote  relation  [See ROMANCE]    ,
Talent, Genius  ability  aptitude  cleverness  gift  endowment  faculty  parts  capacity  , Inability  stupidity  imbecility  incompetence
Talkative  [See TACITURN], Talkative  [See TACITURN]    ,
Tall, High  lofty  towering  elevated  , Low
Tally, Match  suit  accord  correspond  fit  harmonize  agree  coincide  comport  , Differ  disagree  disaccord  miscompose
Tame, Domesticated  reclaimed  tamed  subjugated  broken  gentle  mild  docile  meek  spiritless  tedious  dull  flat  , Undomesticated  unreclaimed  untamed  unbroken  savage  wild  fierce  spirited  animated  ferine  interesting  exciting  stirring  lively
Tamper, Meddle  intermeddle  dabble  intrigue  deal secretly  [See INTERPOSE]    ,
Tangible, Palpable  tactile  substantial  real  substantive  perceptible  corporeal  material  comprehensible  , Impalpable  intangible  spiritual  incorporeal  immaterial  incomprehensible
Tangle, Intertwist  interlock  snarl  complicate  insnare  mat  , Unravel  disentangle  untwine
Tantalize, Disappoint  frustrate  torment  vex  provoke  irritate  tease  , Gratify  satisfy
Tantamount, Equal  equivalent  equipollent  synonymous  , Unequal  unequivalent
Tardy, Slow  sluggish  dilatory  behindhand  backward  reluctant  loitering  late  , Quick  rapid  alert  active  prompt  willing  eager  early
Tarnish, Bedim  bedarken  dull  stain  [See TAINT]    ,
Tarry, Rest  abide  halt  await  flag  lag  continue  remain  sojourn  delay  stop  stay  loiter  linger  , Press  push  speed  haste  proceed
Tart, Sharp  acid  sour  acidulous  keen  pungent  acerbous  severe  acrimonious  biting  bitter  harsh  rude  irascible  , Mellow  sweet  luscious  mild  genial  suave  kindly  unctuous  oily  smooth  bland  blandiloquent  courteous  deferential  polite  ceremonious
Tartness, Sourness  sharpness  harshness  bitterness  asperity  acrimony  acerbity  , Sweetness  gentleness  kindness
Task, Work  function  labor  job  operation  business  undertaking  drudgery  toil  lesson  , Relaxation  leisure  amusement  hobby
Taste, Gustation  savor  flavor  sapidity  relish  perception  judgment  discernment  nicety  critique  sensibility  choice  zest  predilection  delicacy  elegancy  refinement  , Non-gustation  ill-savor  insipidity  disrelish  non-preception  indiscrimination  indiscernment  indelicacy  coarseness  inelegancy
Tasteful, Sapid  relishing  savory  agreeable  tasty  toothsome  palatable  elegant  refined  , Insipid  unrelishing  unsavory  unpalatable  nauseous  inelegant  tasteless  unrefined  vapid
Tasteless  [See TASTEFULL], Tasteless  [See TASTEFULL]    ,
Tattle, Babble  gabble  chatter  gossip  twaddle  [See BABBLE]    ,
Taunt, Reproach  upbraid  rebuke  censure  jeer  scoff  deride  gibe  sneer  mock  revile  twit  , Compliment  congratulate
Tautology, Verbosity  redundancy  needless  repetition  pleonasm  reiteration  , Conciseness  brevity  laconism  compression
Tavern, Public house  hotel  inn    ,
Tawdry, Showy  flashy  tinsel  gaudy  meretricious  , Chaste  rich  elegant  handsome  sumptuous
Tax, Duty  rate  impost  assessment  toll  tribute  [See IMPOST]    ,
Teach, Impart  tell  direct  instruct  inform  counsel  admonish  educate  inculcate  enlighten  advise  indoctrinate  train  , Withhold  misteach  misdirect  misinstruct  misinform  misguide  mislead
Teacher, Instructor  schoolmaster  preceptor  tutor  professor  pedagogue  educationist  educator  schoolmistress  , Pupil  scholar  disciple  learner
Teaching, Training  education  instruction  , Learning  absorbing  receiving  knowledge
Tear, Rend  lacerate  shatter  sever  sunder  , Mend  unite
Tease, Vex  harass  annoy  disturb  irritate  plague  torment  tantalize  provoke  worry  badger  , Soothe  gratify  please  delight  fascinate  enrapture
Tedious, Wearisome  tiresome  monotonous  dilatory  dreary  sluggish  irksome  dull  flat  prolix  , Interesting  exciting  stirring  charming  fascinating  delightful  amusing
Teeming, Present  prolific  fraught  fruitful  productive  overflowing  abundant  swarming  multitudinous  numerous  , Barren  scanty  wanting  rare  sparse  few
Tell, Mention  number  enumerate  count  recount  utter  recite  state  narrate  disclose  publish  betray  divulge  promulgate  acquaint  teach  inform  explain  communicate  report  rehearse  discern  judge  discriminate  ascertain  decide  describe  , Repress  suppress  misrecount  misnarrate  miscommunicate  misdeclare  misrecite  misjudge  misdescribe
Telling, Effective  powerful  pointed  , Weak  ineffective  pointless
Temerity, Rashness  audacity  precipitancy  overventuresomeness  foolhardiness  , Timidity  caution  circumspection  wariness  calculation
Temper -n, Temperament  disposition  constitution  frame  mood  spirit  irritability  heat  humor  passion    ,
Temper -v, Modify  accommodate  qualify  soften  assuage  soothe  adapt  restrain  [See SOFTEN]    ,
Temperament, Organization  idiosyncrasy  disposition  constitution  [See TEMPER  n]    ,
Temperate, Moderate  abstemious  reasonable  sober  calm  cool  sedate  mild  genial  , Immoderate  self-indulgent  intemperate  torrid  frigid  rigorous
Tempest, Blast  storm  gale  hurricane  tornado  squall  excitement  commotion  tumult  [See BLAST]    ,
Tempestuous, Stormy  boisterous  violent  squally  turbulent  , Calm  peaceful  quiet  serene  composed
Temporal, Secular  worldly  civil  political  transient  fleeting  laical  terrestrial  sublunary  mundane  , Religious  spiritual  ecclesiastical  eternal  sacerdotal
Temporary, Present  immediate  partial  limited  transient  impermanent  , Perpetual  lasting  confirmed  complete  final  perfect  permanent  entire
Temporize, Play  fence  trim  manoeuvre  procrastinate  , Act  decide  determine  conclude
Tempt, Entice  allure  try  seduce  attract  solicit  decoy  , Dissuade  deter  warn
Tenable, Maintainable  defensible  justifiable  sound  reasonable  consistent  , Untenable  indefensible  unjustifiable  weak  hollow  fallacious  unreasonable  inconsistent  irrational  absurd
Tenacious, Retentive  adhesive  obstinate  pertinacious  stubborn  jealous  chary  , Irretentive  inadhesive  pliant  tenacious  yielding  liberal  prodigal  bountiful
Tenacity, Retentiveness  cohesiveness  stubbornness  fixity  pertinacity [See PERTINACITY]    ,
Tenant, Occupant  lessee  occupier  resident  dweller  , Owner  landlord  lessor
Tend, Nurture  guard  watch  manage  serve  keep  aid  incline  verge  lean  aim  contribute  conduce  attend  [See ATTEND]  , Betray  desert  abandon
Tendency, Vergency  proneness  bias  gravitation  drift  scope  I aim  disposition  predisposition  proclivity  leaning  inclination  attraction  conductiveness  course  , Disinclination  aversion  repulsion  contravention  deviation  divergency  tangency  divarication  opposition  renitency  reluctance  prevention  neutralization  termination
Tender -v, Offer  proffer  propose  bid  produce  present  , Withhold  withdraw  retain  appropriate
Tender, delicate  frail  impressible  susceptible  yielding  soft  effeminate  weak  feeble  compassionate  affectionate  careful  jealous  gentle  mild  meek  pitiful  merciful  pathetic  , Strong  sturdy  hardy  robust  tough  iron  pitiless  unmerciful  cruel  hard-hearted  careless  liberal  lavish  unchary  ungentle  rough  rude  coarse  unsentimental  unmoving  unfeeling  unimpressive  unimpassioned  unimpressed
Tenderness, Delicacy  softness  kindness  sensibility  pity  benevolence  humanity  clemency  beneficence [See BENEVOLENCE and PITY]    ,
Tenet, Dogma  article  principle  creed  doctrine  opinion  belief  persuasion  , Disbelief  renunciation  protest  abjuration
Tenor, Drift  purport  Intent  course  character  sense  stamp  meaning  effect  aim  scope  direction  , unmeaningness  purposelessness  irrelevance  discursiveness  Incoherence  variance  divergence
Tension, Stretch  strain  intentness  tightness  stiffness  force  tone  effort  , Looseness  relaxation  laxity  atony  slackness
Tentative, Experimental  empirical  speculative  , Uniform  certain  sure  necessary  unfailing
Term -n, Limit  boundary  condition  time  season  period  expression  designation  word  name  article  proviso  stipulation  [See BOUND and BORDER]    ,
Term -v, Denominate  name  call  style  characterize  designate  entitle  [See DENOMINATE]    ,
Terminal, Final  ultimate  marginal  , Central  primal  preconclusive
Terminate, Limit  end  put an end to  close  finish  complete  stop  conclude  [See BOUND  v and ACCOMPLISH]    ,
Termination, Ending  conclusion  fulfilment  achievement  completion  accomplishment  consummation  limit  extent  bound  end  finality  effect  consequence  result  issue  exit  , Beginning  inception  initiation  inchoation  start  origin  rise  source  commencement  cause  operation  process  course  tendency
Terms, Provisions  conditions  stipulations    ,
Terrestrial, Earthly  sublunary  worldly  mundane  terrene  , Celestial  infernal  aquatic  aqueous
Terrible, Awful  fearful  dreadful  formidable  terrific  frightful  tremendous  horrible  shocking  , In formidable  unastounding  unstartling  unastonishing
Terrific  [See TERRIBLE], Terrific  [See TERRIBLE]    ,
Terrify, Frighten  scare  horrify  shock  appal  [See APPAL]    ,
Territory, Province  region  domain  country    ,
Terror, Fear  dread  alarm  flight  consternation  horror  dismay  , Confidence  fearlessness  boldness  reassurance
Terse, Neat  smooth  pithy  expressive  forcible  energetic  compact  concise  succinct  , Coarse  rough  rude  unpolished  inconcise  unsuccinct  prolix  diffuse
Test, Cupel  trial  examination  proof  criterion  standard  experiment  touchstone  experience  ordeal  , misindication  misjudgment  misproof
Testify, Depose  swear  declare  witness  protest  affirm  verify  attest  confirm  certify  asseverate  , Misdeclare  misaffirm  misdepose  mistestify  falsify
Testimonial, Credential  recommendation  monument    ,
Testimony, Witness  evidence  attestion  affirmation  corroboration  confirmation  proof  , Refutation  contradiction  disproof  confutation  contravention  invalidation
Testy, Irritable  peevish  fretful  touchy  cross  fractious  captious  petulant  [See PEEVISH]    ,
Thankful, Grateful  Indebted  beholden  obliged  , Ungrateful  thankless  unthankful
Thankfulness, Gratitude  gratefulness  , Thanklessness  ingratitude
Thankless, Ungracious  unprofitable  unthankful  profitless  unreciprocal  , Profitable  reciprocated
Thaw, Dissolve  melt  liquefy  , Freeze  congeal  harden
Theatrical, Dramatic  scenic  melodramatic  showy  ceremonious  gesticulatory  pompous  meretricious  tinsel  , Chaste  genuine  simple  unaffected  quiet  subdued  mannerless  plain
Theft, Robbery  thieving  stealing  pilfering  filching  larceny  depredation  [See DEPREDATION]    ,
Theme, Topic  thesis  disquisition  subject  discourse  essay  [See DISQUISITION]    ,
Theory, Speculation  assumption  doctrine  scheme  system  supposition  hypothesis  plea  , Fact  truth
Theoretical, Speculative  hypothetical  presumptive  , Practical  positive  definite
Therefore, Accordingly  consequently  hence  for this reason  [See CONSEQUENTLY]    ,
Thick, Dense  condensed  inspissated  close  compact  turbid  luteous  coagulated  muddy  dull  misty  vaporous  crowded  numerous  solid  bulky  deep  confused  inarticulate  , Rare  fine  thin  sparse  strained  pure  percolated  limpid  crystalline  scanty  incompact  slight  shallow  laminated  clear  articulate  distinct
Thicken, Condense  inspissate  incrassate  compact  solidify  befoul  obscure  bemire  becloud  increase  coagulate  amalgamate  commingle  intermix  crowd  multiply  enlarge  expand  extend  broaden  deepen  obstruct  confuse  , Rarify  dissipate  refine  attenuate  clear  purify  strain  percolate  clarify  defecate  depurate  brighten  lighten  open  filtrate  diminish  separate  reduce  narrow  contract  liberate  free  extricate  unravel  disentangle  loosen
Thicket, Copse  grove  wood  jungle  forest  , Open place  cleared place  prairie
Thin, Slim  slender  flimsy  attenuated  diluted  watery  meager  unsubstantial  lean  [See THICK]    ,
Think, Ponder  meditate  consider  reflect  contemplate  conceive  imagine  apprehend  fancy  hold regard  believe  deem  opine  purpose  judge  reckon  [See CONSIDER and REFLECT]    ,
Thorough, Entire  complete  thoroughgoing  powerful  drastic  perfect  [See COMPLETE and ENTIRE]    ,
