The Project Gutenberg EBook of A Complete Dictionary of Synonyms and,,
Antonyms  by Samuel Fallows,,
is’ and bracketed thus: {[unreadable]?}. When replaced into the text, Gulf  profound  gorge  deep  pit  chasm  depth  , Surface  cavity  depression  indentation
in their correct sequence  some of those could be deduced from their, Collegiate  classical  learned  , Illiterate  uncollegiate
context  but I will leave that for the next editor (possibly you  dear, School  seminary  college  university  educational  establishment  institute    ,
reader.) The dictionary is not perfect or complete  and it did not, Assent  consent  acquiesce  comply with  accept  concur  approve  coincide  , Dissent  decline  withdraw  refuse  protest  demur
distinguish n-Grams which are clearly adequate language. Having, Hasten  urge  expedite  quicken  speed  urge on  press forward  hurry  promote  dispatch  facilitate  , Delay  obstruct  impede  clog  retard  hinder  shackle  drag
corrected many broken words  I re-sorted them back into original order , Stress  rhythm  pulsation  beat  emphasis  , Smoothness  inaccentuation  monotony  equableness  babble  flow
added ‘KEY:’ to the principal  and pasted the lot to the Word Processor, Welcome  hail  admit  recognize  avow  acknowledge  take  accede to  receive  assent to  , Refuse  decline  reject  disown  disavow  ignore  repudiate
(below) for study  uploading and further corrections., Grateful  pleasant  welcome  agreeable  pleasure  seasonable  gratifying  , Ungrateful  unwelcome  disagreeable  unpleasant
Acceptation, Meaning  significant  signification    ,
I did  in fact  Google several scores of unrecognised but, Approach  admit  course entrance  avenue  admittance  mode  way  passage  road  , Exit  egress  departure  exclusion  repulse
right-looking words and found many were accurate though out of common, Affable  approachable  easy  conversible  , Distant  cold  difficult  unapproachable
use in today’s English. Victorian English vocab was quite extensive., Arrival  addition  increase  influx  augmentation  reinforcement  enlargement  extension  , Departure  abandonment  resignation  retirement  diminution  decrease  efflux  ebb  drain  subsidence
Did Fallows do a dictionary of word meanings (I wish)?, Assistant  additive  additional  auxiliary  supplementary  conducive  , Essential  inherent  immanent  incorporate  superfluous  irrelevant  malapropos  obstructive  cumbersome
•	Serendip Clip  Nowra  NSW  Australia  February 2016., Accomplice  associate  abettor  ally  colleague  confederate  helper  , Foe  antagonist  adversary  rival
Accident, Chance  fortuity  disaster  incident  adventure  casualty  hazard  contingency  calamity  misadventure  mishap  , Law  purpose  appointment  ordainment  provision  preparation
FALLOWS, Applause  homage  gratulation  salutation  joy  commendation  plaudit  hosannas  cheer  shouting  exultation  triumph  approval  , Obloquy  censure  execration  contumely  outcry  sibilation  denunciation
Acclivity, Ascent  rise  incline  , Declivity  descent
